movieId,title,genres
193810,No Time to Die (2021),Action|Adventure|Thriller
193811,Dune (2021),Action|Adventure|Drama
193812,The French Dispatch (2021),Comedy|Drama|Romance
193813,Spider-Man: No Way Home (2021),Action|Adventure|Fantasy
193814,Shang-Chi and the Legend of the Ten Rings (2021),Action|Adventure|Fantasy
193815,Black Widow (2021),Action|Adventure|Sci-Fi
193816,The Suicide Squad (2021),Action|Adventure|Comedy
193817,Eternals (2021),Action|Adventure|Fantasy
193818,Free Guy (2021),Action|Adventure|Comedy
193819,Luca (2021),Animation|Adventure|Comedy
193820,Encanto (2021),Animation|Adventure|Comedy
193821,Raya and the Last Dragon (2021),Animation|Adventure|Action
193822,Cruella (2021),Comedy|Crime|Drama
193823,A Quiet Place Part II (2021),Drama|Horror|Sci-Fi
193824,The Green Knight (2021),Adventure|Drama|Fantasy
193825,West Side Story (2021),Crime|Drama|Musical
193826,King Richard (2021),Biography|Drama|Sport
193827,Don't Look Up (2021),Comedy|Drama|Sci-Fi
193828,The Power of the Dog (2021),Drama|Western
193829,Nightmare Alley (2021),Crime|Drama|Thriller
193830,House of Gucci (2021),Biography|Crime|Drama
193831,Last Night in Soho (2021),Drama|Horror|Mystery
193832,Belfast (2021),Drama
193833,CODA (2021),Drama|Music
193834,The Matrix Resurrections (2021),Action|Sci-Fi
193835,The Last Duel (2021),Action|Drama|History
193836,Jungle Cruise (2021),Action|Adventure|Comedy
193837,Ghostbusters: Afterlife (2021),Adventure|Comedy|Fantasy
193838,The Harder They Fall (2021),Action|Drama|Western
193839,Clifford the Big Red Dog (2021),Adventure|Animation|Comedy
193840,Sing 2 (2021),Animation|Adventure|Comedy
193841,The Boss Baby: Family Business (2021),Animation|Adventure|Comedy
193842,Space Jam: A New Legacy (2021),Animation|Adventure|Comedy
193843,Venom: Let There Be Carnage (2021),Action|Adventure|Sci-Fi
193844,The Forever Purge (2021),Action|Horror|Thriller
193845,The Mitchells vs. the Machines (2021),Animation|Adventure|Comedy
193846,"Tick, Tick... Boom! (2021)",Biography|Drama|Musical
193847,The Eyes of Tammy Faye (2021),Biography|Drama|History
193848,Spencer (2021),Biography|Drama
193849,Dear Evan Hansen (2021),Drama|Music|Musical
193850,F9: The Fast Saga (2021),Action|Adventure|Crime
193851,The King's Man (2021),Action|Adventure|Comedy
193852,No Sudden Move (2021),Crime|Drama|Mystery
193853,Malignant (2021),Crime|Drama|Horror
193854,Zack Snyder's Justice League (2021),Action|Adventure|Fantasy
193855,Army of the Dead (2021),Action|Adventure|Horror
193856,The Guilty (2021),Crime|Drama|Thriller
193857,Blue Bayou (2021),Drama
193858,Pig (2021),Drama
193859,The Card Counter (2021),Crime|Drama|Thriller
193860,Passing (2021),Drama
193861,The Sparks Brothers (2021),Documentary|Music
193862,Flee (2021),Documentary|Animation|Drama
193863,The Lost Daughter (2021),Drama
193864,The Worst Person in the World (2021),Comedy|Drama|Romance
193865,Drive My Car (2021),Drama
193866,Petite Maman (2021),Drama|Fantasy
193867,Titane (2021),Drama|Horror|Sci-Fi
193868,Annette (2021),Drama|Musical|Romance
193869,The Tragedy of Macbeth (2021),Drama|History|War
193870,The Batman (2021),Action|Crime|Drama
193871,Mass (2021),Drama
193872,Boiling Point (2021),Drama|Thriller
193873,Parallel Mothers (2021),Drama
193874,Bad Luck Banging or Loony Porn (2021),Comedy|Drama
193875,Red Rocket (2021),Comedy|Drama
193876,Licorice Pizza (2021),Comedy|Drama|Romance
193877,After We Fell (2021),Drama|Romance
193878,Fear Street Part One: 1994 (2021),Horror|Mystery
193879,Fear Street Part Two: 1978 (2021),Horror|Mystery
193880,Fear Street Part Three: 1666 (2021),Horror|Mystery
193881,Old (2021),Drama|Mystery|Thriller
193882,Stillwater (2021),Drama|Thriller
193883,Finch (2021),Adventure|Drama|Sci-Fi
193884,Evil Dead Rise (2021),Horror|Thriller
193885,Wrath of Man (2021),Action|Crime|Thriller
193886,Being the Ricardos (2021),Biography|Drama
193887,The Tomorrow War (2021),Action|Adventure|Drama
193888,Infinite (2021),Action|Sci-Fi|Thriller
193889,A Journal for Jordan (2021),Drama
193890,Chaos Walking (2021),Adventure|Sci-Fi|Thriller
193891,Cry Macho (2021),Drama|Thriller|Western
193892,Antlers (2021),Drama|Horror|Mystery
193893,Spiral: From the Book of Saw (2021),Crime|Horror|Mystery
193894,The Protege (2021),Action|Crime|Thriller
193895,The Hitman's Wife's Bodyguard (2021),Action|Comedy|Crime
193896,The Mauritanian (2021),Biography|Drama|Thriller
193897,Respect (2021),Biography|Drama|Music
193898,Cliff Walkers (2021),Action|Crime|Drama
193899,Memory Box (2021),Drama
193900,Minamata (2021),Biography|Drama|History
193901,"Quo Vadis, Aida? (2021)",Drama|History|War
193902,Supernova (2021),Drama|Romance
193903,The Courier (2021),Drama|Thriller
193904,The Ice Road (2021),Action|Thriller
193905,Cinderella (2021),Comedy|Family|Fantasy
193906,The Night House (2021),Drama|Horror|Mystery
193907,Lamb (2021),Drama|Fantasy|Horror
193908,The Tender Bar (2021),Drama
193909,Together Together (2021),Comedy|Drama
